code,time_zone_id,country,region
BMA,Europe/Stockholm,Sweden,Europe
PEL,Africa/Maseru,Lesotho,Africa
BMB,Africa/Kinshasa,"Congo, The Democratic Republic of the",Africa
NJC,Asia/Yekaterinburg,Russian Federation,Europe
NJF,Asia/Baghdad,Iraq,Middle East
BMC,America/Denver,United States,Domestic
IIA,Europe/Dublin,Ireland,Europe
NVN,America/Los_Angeles,United States,Domestic
NWI,Europe/London,United Kingdom,Europe
OAX,America/Mexico_City,Mexico,Mexico/Central America
OBF,Europe/Berlin,Germany,Europe
ORL,America/New_York,United States,Domestic
VAN,Europe/Istanbul,Türkiye,Europe
ORU,America/La_Paz,"Bolivia, Plurinational State of",South America
OSB,America/Chicago,United States,Domestic
VAR,Europe/Sofia,Bulgaria,Europe
OSM,Asia/Baghdad,Iraq,Middle East
NGP,America/Chicago,United States,Domestic
OMD,Africa/Windhoek,Namibia,Africa
NUP,America/Anchorage,United States,Alaska
OBM,Pacific/Port_Moresby,Papua New Guinea,Pacific
OKP,Pacific/Port_Moresby,Papua New Guinea,Pacific
OFJ,Atlantic/Reykjavik,Iceland,Europe
NHZ,America/New_York,United States,Domestic
NIC,Asia/Nicosia,Cyprus,Europe
BMH,Pacific/Port_Moresby,Papua New Guinea,Pacific
NIX,Africa/Bamako,Mali,Africa
BNO,America/Los_Angeles,United States,Domestic
BNS,America/Caracas,"Venezuela, Bolivarian Republic of",South America
BNX,Europe/Sarajevo,Bosnia and Herzegovina,Europe
BOC,America/Panama,Panama,Mexico/Central America
NGK,Asia/Sakhalin,Russian Federation,Europe
BOG,America/Bogota,Colombia,South America
BOM,Asia/Kolkata,India,Pacific
NHA,Asia/Ho_Chi_Minh,Viet Nam,Pacific
BOO,Europe/Oslo,Norway,Europe
BOS,America/New_York,United States,Domestic
BPG,America/Cuiaba,Brazil,South America
NHT,Europe/London,United Kingdom,Europe
BPH,Asia/Manila,Philippines,Pacific
NIM,Africa/Niamey,Niger,Africa
BPM,Asia/Kolkata,India,Pacific
NIR,America/Chicago,United States,Domestic
NIO,Africa/Kinshasa,"Congo, The Democratic Republic of the",Africa
NIT,Europe/Paris,France,Europe
IMN,Pacific/Port_Moresby,Papua New Guinea,Pacific
INF,Africa/Algiers,Algeria,Africa
BRQ,Europe/Prague,Czechia,Europe
PPW,Europe/London,United Kingdom,Europe
OFI,Africa/Abidjan,Côte d'Ivoire,Africa
NJA,Asia/Tokyo,Japan,Pacific
NJJ,Asia/Shanghai,China,Pacific
VCE,Europe/Rome,Italy,Europe
NKA,Africa/Libreville,Gabon,Africa
NMT,Asia/Rangoon,Myanmar,Pacific
NMU,Pacific/Majuro,Marshall Islands,Pacific
NNA,Africa/Casablanca,Morocco,Africa
NND,Africa/Maputo,Mozambique,Africa
NKG,Asia/Shanghai,China,Pacific
NKM,Asia/Tokyo,Japan,Pacific
NKP,Asia/Bangkok,Thailand,Pacific
NLD,America/Matamoros,Mexico,Mexico/Central America
BRS,Europe/London,United Kingdom,Europe
NLE,America/Detroit,United States,Domestic
UNT,Europe/London,United Kingdom,Europe
NLH,Asia/Shanghai,China,Pacific
AHU,Africa/Casablanca,Morocco,Africa
NLI,Asia/Vladivostok,Russian Federation,Europe
BRD,America/Chicago,United States,Domestic
BRE,Europe/Berlin,Germany,Europe
BRM,America/Caracas,"Venezuela, Bolivarian Republic of",South America
NLK,Pacific/Norfolk,Norfolk Island,Other International
BRN,Europe/Zurich,Switzerland,Europe
BRU,Europe/Brussels,Belgium,Europe
NLN,America/Los_Angeles,United States,Domestic
BSD,Asia/Shanghai,China,Pacific
BSN,Africa/Bangui,Central African Republic,Africa
NLO,Africa/Kinshasa,"Congo, The Democratic Republic of the",Africa
NLP,Africa/Johannesburg,South Africa,Africa
NLT,Asia/Shanghai,China,Pacific
GOC,Pacific/Port_Moresby,Papua New Guinea,Pacific
MJA,Indian/Antananarivo,Madagascar,Africa
NLV,Europe/Kiev,Ukraine,Europe
NNR,Europe/Dublin,Ireland,Europe
NNT,Asia/Bangkok,Thailand,Pacific
NNU,America/Sao_Paulo,Brazil,South America
NOC,Europe/Dublin,Ireland,Europe
NOK,America/Cuiaba,Brazil,South America
NOS,Indian/Antananarivo,Madagascar,Africa
NOT,America/Los_Angeles,United States,Domestic
NOU,Pacific/Noumea,New Caledonia,Pacific
NOV,Africa/Luanda,Angola,Africa
BLE,Europe/Stockholm,Sweden,Europe
NPH,America/Denver,United States,Domestic
BSP,Pacific/Port_Moresby,Papua New Guinea,Pacific
NPL,Pacific/Auckland,New Zealand,Australia/New Zealand
NPY,Africa/Dar_es_Salaam,"Tanzania, United Republic of",Africa
NQY,Europe/London,United Kingdom,Europe
BTA,Africa/Douala,Cameroon,Africa
VIR,Africa/Johannesburg,South Africa,Africa
NRA,Australia/Sydney,Australia,Australia/New Zealand
NSE,America/Chicago,United States,Domestic
NSF,America/New_York,United States,Domestic
NSH,Asia/Tehran,"Iran, Islamic Republic of",Middle East
NSV,Australia/Brisbane,Australia,Australia/New Zealand
NSN,Pacific/Auckland,New Zealand,Australia/New Zealand
NTX,Asia/Jakarta,Indonesia,Pacific
BUD,Europe/Budapest,Hungary,Europe
NUA,Asia/Colombo,Sri Lanka,Pacific
NSY,Europe/Rome,Italy,Europe
BUF,America/New_York,United States,Domestic
NTB,Europe/Oslo,Norway,Europe
NTC,Africa/Maputo,Mozambique,Africa
NTD,America/Los_Angeles,United States,Domestic
BUJ,Africa/Algiers,Algeria,Africa
BUL,Pacific/Port_Moresby,Papua New Guinea,Pacific
BUQ,Africa/Harare,Zimbabwe,Africa
BUR,America/Los_Angeles,United States,Domestic
BUS,Asia/Tbilisi,Georgia,Pacific
BUT,Asia/Thimphu,Bhutan,Pacific
BVG,Europe/Oslo,Norway,Europe
BVO,America/Chicago,United States,Domestic
NRK,Europe/Stockholm,Sweden,Europe
KSX,Pacific/Port_Moresby,Papua New Guinea,Pacific
BZG,Europe/Warsaw,Poland,Europe
EMN,Africa/Nouakchott,Mauritania,Africa
NTI,Asia/Jayapura,Indonesia,Pacific
NTJ,America/Denver,United States,Domestic
BZH,Africa/Harare,Zimbabwe,Africa
NRN,Europe/Berlin,Germany,Europe
NRT,Asia/Tokyo,Japan,Pacific
NTO,Atlantic/Cape_Verde,Cabo Verde,Africa
NSL,America/Chicago,United States,Domestic
NTR,America/Monterrey,Mexico,Mexico/Central America
NTT,Pacific/Tongatapu,Tonga,Pacific
NTU,America/New_York,United States,Domestic
NTY,Africa/Johannesburg,South Africa,Africa
NSO,Australia/Sydney,Australia,Australia/New Zealand
NST,Asia/Bangkok,Thailand,Pacific
NTE,Europe/Paris,France,Europe
NUS,Pacific/Efate,Vanuatu,Pacific
NWP,America/St_Johns,Canada,Canada
NVP,America/Manaus,Brazil,South America
NVS,Europe/Paris,France,Europe
NWU,Atlantic/Bermuda,Bermuda,Caribbean
BZI,Europe/Istanbul,Türkiye,Europe
NXX,America/New_York,United States,Domestic
NVT,America/Sao_Paulo,Brazil,South America
BZL,Asia/Dhaka,Bangladesh,Pacific
BEM,Africa/Casablanca,Morocco,Africa
BGH,Africa/Nouakchott,Mauritania,Africa
BOH,Europe/London,United Kingdom,Europe
NYE,Africa/Nairobi,Kenya,Africa
BXO,Europe/Zurich,Switzerland,Europe
BXR,Asia/Tehran,"Iran, Islamic Republic of",Middle East
BXU,Asia/Manila,Philippines,Pacific
BYC,America/La_Paz,"Bolivia, Plurinational State of",South America
BYU,Europe/Berlin,Germany,Europe
BZC,America/Sao_Paulo,Brazil,South America
BZN,America/Denver,United States,Domestic
BZO,Europe/Rome,Italy,Europe
BZZ,Europe/London,United Kingdom,Europe
CFD,America/Chicago,United States,Domestic
NYG,America/New_York,United States,Domestic
NYK,Africa/Nairobi,Kenya,Africa
CBO,Asia/Manila,Philippines,Pacific
SGJ,Pacific/Port_Moresby,Papua New Guinea,Pacific
GMT,America/Anchorage,United States,Alaska
VNO,Europe/Vilnius,Lithuania,Europe
GRH,Pacific/Port_Moresby,Papua New Guinea,Pacific
MPN,Atlantic/Stanley,Falkland Islands (Malvinas),South America
MYO,Australia/Perth,Australia,Australia/New Zealand
CBQ,Africa/Lagos,Nigeria,Africa
ODA,Africa/Bangui,Central African Republic,Africa
NWH,America/New_York,United States,Domestic
NYI,Africa/Accra,Ghana,Africa
NYN,Australia/Sydney,Australia,Australia/New Zealand
VNS,Asia/Kolkata,India,Pacific
NYW,Asia/Yangon,Myanmar,Pacific
OBK,America/Chicago,United States,Domestic
OBD,Asia/Jayapura,Indonesia,Pacific
ATR,Africa/Nouakchott,Mauritania,Africa
BWP,Pacific/Port_Moresby,Papua New Guinea,Pacific
OBS,Europe/Paris,France,Europe
OCA,America/New_York,United States,Domestic
OCE,America/New_York,United States,Domestic
CAK,America/New_York,United States,Domestic
OCF,America/New_York,United States,Domestic
CAL,Europe/London,United Kingdom,Europe
OCJ,America/Jamaica,Jamaica,Caribbean
OCN,America/Los_Angeles,United States,Domestic
CAP,America/Port-au-Prince,Haiti,Caribbean
OCV,America/Bogota,Colombia,South America
OCW,America/New_York,United States,Domestic
ODJ,Africa/Bangui,Central African Republic,Africa
CAY,America/Cayenne,French Guiana,South America
CAZ,Australia/Sydney,Australia,Australia/New Zealand
CBE,America/New_York,United States,Domestic
CBJ,America/Santo_Domingo,Dominican Republic,Caribbean
CBV,America/Guatemala,Guatemala,Mexico/Central America
CGM,Asia/Manila,Philippines,Pacific
CGN,Europe/Berlin,Germany,Europe
OGB,America/New_York,United States,Domestic
OGD,America/Denver,United States,Domestic
OGO,Africa/Abidjan,Côte d'Ivoire,Africa
OGU,Asia/Istanbul,Türkiye,Europe
OGV,Africa/Windhoek,Namibia,Africa
VPS,America/Chicago,United States,Domestic
ALZ,America/Anchorage,United States,Alaska
CCP,America/Santiago,Chile,South America
OPB,Pacific/Port_Moresby,Papua New Guinea,Pacific
CDC,America/Denver,United States,Domestic
ONE,Pacific/Guadalcanal,Solomon Islands,Pacific
OUK,Europe/London,United Kingdom,Europe
WYB,America/Anchorage,United States,Alaska
OHA,Pacific/Auckland,New Zealand,Australia/New Zealand
ENJ,America/Guatemala,Guatemala,Mexico/Central America
OHI,Africa/Windhoek,Namibia,Africa
CCR,America/Los_Angeles,United States,Domestic
IKL,Africa/Kinshasa,"Congo, The Democratic Republic of the",Africa
OHR,Europe/Berlin,Germany,Europe
OKT,Asia/Yekaterinburg,Russian Federation,Europe
OLC,America/Manaus,Brazil,South America
OLD,America/New_York,United States,Domestic
OLE,America/New_York,United States,Domestic
SGW,America/Anchorage,United States,Alaska
OLF,America/Denver,United States,Domestic
OLG,Africa/Nairobi,Kenya,Africa
OLI,Atlantic/Reykjavik,Iceland,Europe
OLL,Africa/Brazzaville,Congo,Africa
OLN,America/Argentina/Catamarca,Argentina,South America
OLO,Europe/Prague,Czechia,Europe
OHS,Asia/Muscat,Oman,Middle East
CDI,America/Sao_Paulo,Brazil,South America
OLR,Asia/Kabul,Afghanistan,Pacific
OLS,America/Phoenix,United States,Domestic
OIM,Asia/Tokyo,Japan,Pacific
OIT,Asia/Tokyo,Japan,Pacific
OJC,America/Chicago,United States,Domestic
KEE,Africa/Brazzaville,Congo,Africa
CDR,America/Denver,United States,Domestic
ABO,Africa/Abidjan,Côte d'Ivoire,Africa
ABW,Pacific/Port_Moresby,Papua New Guinea,Pacific
OKA,Asia/Tokyo,Japan,Pacific
CCS,America/Caracas,"Venezuela, Bolivarian Republic of",South America
CDT,Europe/Madrid,Spain,Europe
OKD,Asia/Tokyo,Japan,Pacific
OKJ,Asia/Tokyo,Japan,Pacific
CHT,Pacific/Chatham,New Zealand,Australia/New Zealand
OKK,America/Indiana/Indianapolis,United States,Domestic
OKY,Australia/Brisbane,Australia,Australia/New Zealand
VPZ,America/Chicago,United States,Domestic
OLA,Europe/Oslo,Norway,Europe
OLB,Europe/Rome,Italy,Europe
GNU,America/Anchorage,United States,Alaska
KGR,Australia/Darwin,Australia,Australia/New Zealand
MYH,America/Phoenix,United States,Domestic
OMB,Africa/Libreville,Gabon,Africa
OLJ,Pacific/Efate,Vanuatu,Pacific
YWM,America/St_Johns,Canada,Canada
OLM,America/Los_Angeles,United States,Domestic
OOM,Australia/Sydney,Australia,Australia/New Zealand
OPA,Atlantic/Reykjavik,Iceland,Europe
OMA,America/Chicago,United States,Domestic
SHK,Africa/Maseru,Lesotho,Africa
CFB,America/Sao_Paulo,Brazil,South America
SMJ,Pacific/Port_Moresby,Papua New Guinea,Pacific
CFC,America/Sao_Paulo,Brazil,South America
OMC,Asia/Manila,Philippines,Pacific
OMF,Asia/Amman,Jordan,Middle East
OMH,Asia/Tehran,"Iran, Islamic Republic of",Middle East
KBO,Africa/Lubumbashi,"Congo, The Democratic Republic of the",Africa
AJJ,Africa/Nouakchott,Mauritania,Africa
OMO,Europe/Sarajevo,Bosnia and Herzegovina,Europe
OMR,Europe/Bucharest,Romania,Europe
OMS,Asia/Omsk,Russian Federation,Europe
OND,Africa/Windhoek,Namibia,Africa
ONJ,Asia/Tokyo,Japan,Pacific
BXE,Africa/Dakar,Senegal,Africa
ONK,Asia/Yakutsk,Russian Federation,Europe
CEK,Asia/Yekaterinburg,Russian Federation,Europe
ONO,America/Boise,United States,Domestic
ONQ,Europe/Istanbul,Türkiye,Europe
CEN,America/Hermosillo,Mexico,Mexico/Central America
ONS,Australia/Perth,Australia,Australia/New Zealand
OSF,Europe/Moscow,Russian Federation,Europe
OSH,America/Chicago,United States,Domestic
OSI,Europe/Zagreb,Croatia,Europe
OSJ,Africa/Nairobi,Kenya,Africa
OSK,Europe/Stockholm,Sweden,Europe
OTT,America/Cuiaba,Brazil,South America
CEQ,Europe/Paris,France,Europe
CER,Europe/Paris,France,Europe
CEZ,America/Denver,United States,Domestic
CJH,America/Vancouver,Canada,Canada
CJN,America/Los_Angeles,United States,Domestic
VSA,America/Mexico_City,Mexico,Mexico/Central America
CKA,America/Chicago,United States,Domestic
OSX,America/Chicago,United States,Domestic
OTN,America/Indiana/Vincennes,United States,Domestic
OUD,Africa/Casablanca,Morocco,Africa
OVG,Africa/Johannesburg,South Africa,Africa
OUG,Africa/Ouagadougou,Burkina Faso,Africa
OUL,Europe/Helsinki,Finland,Europe
OUM,Africa/Ndjamena,Chad,Africa
CFN,Europe/Dublin,Ireland,Europe
OUN,America/Chicago,United States,Domestic
OUZ,Africa/Nouakchott,Mauritania,Africa
OVB,Asia/Phnom_Penh,Cambodia,Pacific
OVL,America/Santiago,Chile,South America
OVS,Asia/Yekaterinburg,Russian Federation,Europe
OWA,America/Chicago,United States,Domestic
OWB,America/Chicago,United States,Domestic
AEO,Africa/Nouakchott,Mauritania,Africa
OWD,America/New_York,United States,Domestic
AZZ,Africa/Luanda,Angola,Africa
OYS,America/Los_Angeles,United States,Domestic
OZA,America/Chicago,United States,Domestic
OZC,Asia/Manila,Philippines,Pacific
BKJ,Africa/Conakry,Guinea,Africa
OZG,Africa/Casablanca,Morocco,Africa
OYE,Africa/Libreville,Gabon,Africa
CFE,Europe/Paris,France,Europe
OZP,Europe/Madrid,Spain,Europe
CFS,Australia/Sydney,Australia,Australia/New Zealand
OZR,America/Chicago,United States,Domestic
OZU,Europe/Madrid,Spain,Europe
PAA,Asia/Rangoon,Myanmar,Pacific
PAB,Asia/Kolkata,India,Pacific
PAC,America/Panama,Panama,Mexico/Central America
KMK,Africa/Brazzaville,Congo,Africa
CFG,America/Havana,Cuba,Caribbean
OZZ,Africa/Casablanca,Morocco,Africa
PAK,Pacific/Honolulu,United States,Hawaii
PAF,Africa/Kampala,Uganda,Africa
PAV,America/Bahia,Brazil,South America
PAJ,Asia/Karachi,Pakistan,Pacific
PAM,America/Chicago,United States,Domestic
CFK,Africa/Algiers,Algeria,Africa
CFU,Europe/Athens,Greece,Europe
CGD,Asia/Shanghai,China,Pacific
CGF,America/New_York,United States,Domestic
NDB,Africa/Nouakchott,Mauritania,Africa
ORN,Africa/Algiers,Algeria,Africa
PEB,Africa/Maputo,Mozambique,Africa
CIC,America/Los_Angeles,United States,Domestic
PAQ,America/Anchorage,United States,Alaska
PAS,Europe/Athens,Greece,Europe
PAT,Asia/Kolkata,India,Pacific
EIA,Pacific/Port_Moresby,Papua New Guinea,Pacific
ALJ,Africa/Johannesburg,South Africa,Africa
PCL,America/Lima,Peru,South America
FGD,Africa/Nouakchott,Mauritania,Africa
VYI,Asia/Yakutsk,Russian Federation,Europe
BZU,Africa/Lubumbashi,"Congo, The Democratic Republic of the",Africa
PCM,America/Cancun,Mexico,Mexico/Central America
WGO,America/New_York,United States,Domestic
PCN,Pacific/Auckland,New Zealand,Australia/New Zealand
PBD,Asia/Kolkata,India,Pacific
PCP,Africa/Sao_Tome,Sao Tome and Principe,Africa
PBF,America/Chicago,United States,Domestic
PBI,America/New_York,United States,Domestic
DJT,America/New_York,United States,Domestic
CHM,America/Lima,Peru,South America
PCS,America/Fortaleza,Brazil,South America
PBL,America/Caracas,"Venezuela, Bolivarian Republic of",South America
PBM,America/Paramaribo,Suriname,South America
PBU,Asia/Rangoon,Myanmar,Pacific
PBZ,Africa/Johannesburg,South Africa,Africa
PCB,Asia/Jakarta,Indonesia,Pacific
CHO,America/New_York,United States,Domestic
PCD,America/Chicago,United States,Domestic
PCF,Africa/Johannesburg,South Africa,Africa
PCQ,Asia/Vientiane,Lao People's Democratic Republic,Pacific
PEQ,America/Chicago,United States,Domestic
PER,Australia/Perth,Australia,Australia/New Zealand
CHQ,Europe/Athens,Greece,Europe
PES,Europe/Moscow,Russian Federation,Europe
CIG,America/Denver,United States,Domestic
CIH,Asia/Shanghai,China,Pacific
CIY,Europe/Rome,Italy,Europe
CMY,America/Chicago,United States,Domestic
CMZ,Africa/Maputo,Mozambique,Africa
PET,America/Sao_Paulo,Brazil,South America
PEU,America/Tegucigalpa,Honduras,Mexico/Central America
PGB,Pacific/Port_Moresby,Papua New Guinea,Pacific
WIC,Europe/London,United Kingdom,Europe
PFJ,Atlantic/Reykjavik,Iceland,Europe
PAW,Pacific/Port_Moresby,Papua New Guinea,Pacific
PDG,Asia/Jakarta,Indonesia,Pacific
PDL,Atlantic/Azores,Portugal,Europe
CJM,Asia/Bangkok,Thailand,Pacific
CJS,America/Ojinaga,Mexico,Mexico/Central America
WJA,Pacific/Majuro,Marshall Islands,Pacific
PDO,Asia/Jakarta,Indonesia,Pacific
PDR,America/Fortaleza,Brazil,South America
PDT,America/Los_Angeles,United States,Domestic
PDU,America/Montevideo,Uruguay,South America
PDX,America/Los_Angeles,United States,Domestic
PDZ,America/Caracas,"Venezuela, Bolivarian Republic of",South America
PEH,America/Argentina/Buenos_Aires,Argentina,South America
PEX,Europe/Moscow,Russian Federation,Europe
PGN,Pacific/Port_Moresby,Papua New Guinea,Pacific
PGU,Asia/Tehran,"Iran, Islamic Republic of",Middle East
PGX,Europe/Paris,France,Europe
KND,Africa/Lubumbashi,"Congo, The Democratic Republic of the",Africa
CJT,America/Mexico_City,Mexico,Mexico/Central America
PGZ,America/Sao_Paulo,Brazil,South America
PHA,Asia/Ho_Chi_Minh,Viet Nam,Pacific
PHB,America/Fortaleza,Brazil,South America
PHG,Africa/Lagos,Nigeria,Africa
PHH,Asia/Ho_Chi_Minh,Viet Nam,Pacific
CKV,America/Chicago,United States,Domestic
CLA,Asia/Dhaka,Bangladesh,Pacific
PHI,America/Fortaleza,Brazil,South America
CLE,America/New_York,United States,Domestic
PHJ,Australia/Sydney,Australia,Australia/New Zealand
PFB,America/Sao_Paulo,Brazil,South America
PFO,Asia/Nicosia,Cyprus,Europe
PFQ,Asia/Tehran,"Iran, Islamic Republic of",Middle East
CLJ,Europe/Bucharest,Romania,Europe
CLL,America/Chicago,United States,Domestic
CON,America/New_York,United States,Domestic
PHP,America/Chicago,United States,Domestic
NDD,Africa/Luanda,Angola,Africa
PFR,Africa/Lubumbashi,"Congo, The Democratic Republic of the",Africa
PGH,Asia/Kolkata,India,Pacific
CQP,Australia/Brisbane,Australia,Australia/New Zealand
PGK,Asia/Jakarta,Indonesia,Pacific
LIV,America/Anchorage,United States,Alaska
PGQ,Asia/Jayapura,Indonesia,Pacific
CMX,America/Detroit,United States,Domestic
CNB,Australia/Sydney,Australia,Australia/New Zealand
CNF,America/Sao_Paulo,Brazil,South America
PGS,America/Phoenix,United States,Domestic
PGV,America/New_York,United States,Domestic
PHC,Africa/Lagos,Nigeria,Africa
PHF,America/New_York,United States,Domestic
PJM,America/Costa_Rica,Costa Rica,Mexico/Central America
PJZ,America/Cancun,Mexico,Mexico/Central America
PHS,Asia/Bangkok,Thailand,Pacific
PKB,America/New_York,United States,Domestic
CNM,America/Denver,United States,Domestic
PKC,Asia/Kamchatka,Russian Federation,Europe
PKD,America/Chicago,United States,Domestic
PHT,America/Chicago,United States,Domestic
PKF,America/Chicago,United States,Domestic
CNN,Asia/Kolkata,India,Pacific
PHW,Africa/Johannesburg,South Africa,Africa
CNO,America/Los_Angeles,United States,Domestic
ANZ,Australia/Darwin,Australia,Australia/New Zealand
AOA,Pacific/Port_Moresby,Papua New Guinea,Pacific
PKH,Europe/Athens,Greece,Europe
PHX,America/Phoenix,United States,Domestic
PHY,Asia/Bangkok,Thailand,Pacific
PIA,America/Chicago,United States,Domestic
BGJ,Atlantic/Reykjavik,Iceland,Europe
BZV,Africa/Brazzaville,Congo,Africa
CMI,America/Chicago,United States,Domestic
CSJ,Asia/Ho_Chi_Minh,Viet Nam,Pacific
CNS,Australia/Brisbane,Australia,Australia/New Zealand
CNX,Asia/Bangkok,Thailand,Pacific
PTC,America/Anchorage,United States,Alaska
CRK,Asia/Manila,Philippines,Pacific
PKM,America/Guyana,Guyana,South America
EAL,Pacific/Kwajalein,Marshall Islands,Pacific
EGM,Pacific/Guadalcanal,Solomon Islands,Pacific
PIB,America/Chicago,United States,Domestic
PIE,America/New_York,United States,Domestic
PIH,America/Boise,United States,Domestic
PIN,America/Manaus,Brazil,South America
PIR,America/Chicago,United States,Domestic
PJB,America/Phoenix,United States,Domestic
WVK,Indian/Antananarivo,Madagascar,Africa
PLP,America/Panama,Panama,Mexico/Central America
WVL,America/New_York,United States,Domestic
PLT,America/Bogota,Colombia,South America
PLU,America/Sao_Paulo,Brazil,South America
PLV,Europe/Kiev,Ukraine,Europe
CRL,Europe/Brussels,Belgium,Europe
ASK,Africa/Abidjan,Côte d'Ivoire,Africa
BVC,Atlantic/Cape_Verde,Cabo Verde,Africa
PLY,America/Indiana/Indianapolis,United States,Domestic
CQD,Asia/Tehran,"Iran, Islamic Republic of",Middle East
CRA,Europe/Bucharest,Romania,Europe
PMA,Africa/Dar_es_Salaam,"Tanzania, United Republic of",Africa
CRE,America/New_York,United States,Domestic
CRV,Europe/Rome,Italy,Europe
PMB,America/Chicago,United States,Domestic
PMD,America/Los_Angeles,United States,Domestic
YYE,America/Vancouver,Canada,Canada
YYF,America/Vancouver,Canada,Canada
YYG,America/Halifax,Canada,Canada
YYJ,America/Vancouver,Canada,Canada
CSM,America/Chicago,United States,Domestic
PME,Europe/London,United Kingdom,Europe
PMG,America/Campo_Grande,Brazil,South America
CST,Pacific/Fiji,Fiji,Pacific
PMH,America/New_York,United States,Domestic
POI,America/La_Paz,"Bolivia, Plurinational State of",South America
PNJ,Asia/Shanghai,China,Pacific
PNK,Asia/Pontianak,Indonesia,Pacific
PIQ,America/Guyana,Guyana,South America
POM,Pacific/Port_Moresby,Papua New Guinea,Pacific
AIG,Africa/Bangui,Central African Republic,Africa
AMH,Africa/Addis_Ababa,Ethiopia,Africa
AQY,America/Anchorage,United States,Alaska
PNG,America/Sao_Paulo,Brazil,South America
PNN,America/New_York,United States,Domestic
DIW,Asia/Colombo,Sri Lanka,Pacific
DOE,America/Paramaribo,Suriname,South America
PNU,America/Denver,United States,Domestic
PNT,America/Santiago,Chile,South America
PNV,Europe/Vilnius,Lithuania,Europe
EPN,Africa/Brazzaville,Congo,Africa
PNX,America/Chicago,United States,Domestic
PNY,Asia/Kolkata,India,Pacific
BTO,America/Paramaribo,Suriname,South America
PNZ,America/Recife,Brazil,South America
CBU,Europe/Berlin,Germany,Europe
POB,America/New_York,United States,Domestic
COA,America/Los_Angeles,United States,Domestic
CSK,Africa/Dakar,Senegal,Africa
CSN,America/Los_Angeles,United States,Domestic
CSU,America/Sao_Paulo,Brazil,South America
BCG,America/Guyana,Guyana,South America
CTA,Europe/Rome,Italy,Europe
POC,America/Los_Angeles,United States,Domestic
GWN,Pacific/Port_Moresby,Papua New Guinea,Pacific
HZP,America/Edmonton,Canada,Canada
YZY,Asia/Shanghai,China,Pacific
ZAD,Europe/Zagreb,Croatia,Europe
ZAG,Europe/Zagreb,Croatia,Europe
POE,America/Chicago,United States,Domestic
POF,America/Chicago,United States,Domestic
ZAM,Asia/Manila,Philippines,Pacific
ZIS,Africa/Tripoli,Libya,Africa
ZJG,America/Winnipeg,Canada,Canada
BEQ,Europe/London,United Kingdom,Europe
ZJN,America/Winnipeg,Canada,Canada
ZKB,Africa/Lusaka,Zambia,Africa
CTG,America/Bogota,Colombia,South America
CUI,America/Bogota,Colombia,South America
PPM,America/New_York,United States,Domestic
PPR,Asia/Jakarta,Indonesia,Pacific
CVC,Australia/Adelaide,Australia,Australia/New Zealand
LZM,Africa/Luanda,Angola,Africa
CVE,America/Bogota,Colombia,South America
CVF,Europe/Paris,France,Europe
AIW,Africa/Windhoek,Namibia,Africa
AZB,Pacific/Port_Moresby,Papua New Guinea,Pacific
XGR,America/Montreal,Canada,Canada
CDL,America/Anchorage,United States,Alaska
POJ,America/Sao_Paulo,Brazil,South America
CUL,America/Mazatlan,Mexico,Mexico/Central America
CUM,America/Caracas,"Venezuela, Bolivarian Republic of",South America
PPU,Asia/Rangoon,Myanmar,Pacific
CUN,America/Cancun,Mexico,Mexico/Central America
POO,America/Sao_Paulo,Brazil,South America
POR,Europe/Helsinki,Finland,Europe
PQC,Asia/Ho_Chi_Minh,Viet Nam,Pacific
CUP,America/Caracas,"Venezuela, Bolivarian Republic of",South America
CUR,America/Curacao,Curaçao,Caribbean
CUT,America/Argentina/Salta,Argentina,South America
CUU,America/Chihuahua,Mexico,Mexico/Central America
CUV,America/Caracas,"Venezuela, Bolivarian Republic of",South America
PQD,Asia/Colombo,Sri Lanka,Pacific
PQI,America/New_York,United States,Domestic
POS,America/Port_of_Spain,Trinidad and Tobago,Caribbean
POZ,Europe/Warsaw,Poland,Europe
PPF,America/Chicago,United States,Domestic
PPI,Australia/Adelaide,Australia,Australia/New Zealand
CUZ,America/Lima,Peru,South America
CVG,America/New_York,United States,Domestic
PPJ,Asia/Jakarta,Indonesia,Pacific
XPK,America/Winnipeg,Canada,Canada
CVI,America/Argentina/Rio_Gallegos,Argentina,South America
PPK,Asia/Almaty,Kazakhstan,Pacific
PPN,America/Bogota,Colombia,South America
PPQ,Pacific/Auckland,New Zealand,Australia/New Zealand
PPS,Asia/Manila,Philippines,Pacific
PSI,Asia/Karachi,Pakistan,Pacific
PSD,Africa/Cairo,Egypt,Africa
PSH,Europe/Berlin,Germany,Europe
PSJ,Asia/Makassar,Indonesia,Pacific
PSL,Europe/London,United Kingdom,Europe
CVJ,America/Mexico_City,Mexico,Mexico/Central America
CVM,America/Monterrey,Mexico,Mexico/Central America
PSM,America/New_York,United States,Domestic
PSN,America/Chicago,United States,Domestic
PSO,America/Bogota,Colombia,South America
PSQ,America/New_York,United States,Domestic
CXI,Pacific/Kiritimati,Kiribati,Pacific
GRC,Africa/Monrovia,Liberia,Africa
CXJ,America/Sao_Paulo,Brazil,South America
CXL,America/Los_Angeles,United States,Domestic
CXO,America/Chicago,United States,Domestic
CXP,Asia/Jakarta,Indonesia,Pacific
CXR,Asia/Ho_Chi_Minh,Viet Nam,Pacific
